,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
121,10,300,133,281,477,293,796,396,0,0,1,0
122,389,310,146,490,492,261,798,343,0,0,0,0
123,389,310,146,490,475,250,797,306,0,0,1,0
124,389,310,146,490,569,292,798,357,0,0,0,0
125,389,310,146,490,581,305,798,376,0,0,0,0
126,35,500,128,486,588,303,794,361,0,0,0,0
127,20,500,154,470,588,303,794,361,0,0,0,0
128,10,499,153,477,588,303,794,361,0,0,0,0
129,40,500,111,479,588,303,794,361,0,0,0,0
130,52,500,154,484,588,303,794,361,0,0,0,0
131,39,500,153,470,588,303,794,361,0,0,0,0
132,42,294,299,257,624,319,798,369,0,0,0,0
133,23,500,94,479,624,319,798,369,0,0,0,0
134,60,291,289,258,621,317,794,370,0,0,0,0
135,10,300,118,284,632,323,797,370,0,0,0,0
136,10,300,191,272,624,319,798,369,0,0,0,0
137,27,500,94,479,626,320,798,370,0,0,0,0
138,19,298,262,263,621,317,795,370,0,0,0,0
139,10,301,209,270,624,319,798,369,0,0,0,0
140,56,500,153,480,528,387,631,407,0,0,0,0
141,128,500,160,493,455,395,631,432,0,0,0,0
142,19,500,86,479,628,321,798,370,1,0,0,0
143,12,300,214,265,619,325,798,373,1,0,0,0
144,109,292,259,258,584,282,779,312,1,0,0,0
145,11,306,266,257,698,345,798,374,1,1,0,0
146,389,310,146,490,567,375,793,449,1,0,0,1
147,389,310,146,490,586,280,750,321,0,0,0,1
148,10,308,359,252,588,303,794,361,0,0,0,1
149,10,495,373,398,588,303,794,361,0,0,0,1
150,389,310,146,490,588,303,794,361,1,0,0,1
151,389,310,146,490,588,303,794,361,1,0,0,1
152,126,385,397,308,588,303,794,361,1,0,0,1
153,80,311,274,283,405,374,708,444,1,0,0,1
154,19,369,297,310,517,274,798,349,1,1,0,0
155,10,349,281,297,588,303,794,361,1,0,0,0
156,10,393,190,342,557,280,798,345,1,0,0,0
157,17,341,124,321,588,303,794,361,1,0,0,0
158,10,392,143,351,588,303,794,361,1,0,0,0
159,389,310,146,490,588,303,794,361,1,0,0,0
160,389,310,146,490,588,303,794,361,1,0,0,0
161,389,310,146,490,588,303,794,361,1,0,0,1
162,389,310,146,490,445,298,784,351,1,0,0,0
163,131,294,382,250,457,277,772,349,1,0,0,0
164,35,336,312,282,473,279,798,372,1,0,0,0
165,13,364,378,273,436,253,787,328,1,0,0,0
166,12,355,356,270,519,266,798,336,1,0,0,0
167,10,420,370,317,588,303,794,361,1,0,0,0
168,389,310,146,490,588,303,794,361,1,1,0,0
169,389,310,146,490,433,250,798,327,0,1,0,0
170,389,310,146,490,508,463,686,500,1,0,0,0
171,160,445,303,418,588,303,794,361,0,0,0,1
172,389,310,146,490,547,303,733,333,0,0,1,1
173,389,310,146,490,588,303,794,361,0,0,0,1
174,10,355,163,325,576,326,643,337,0,0,0,1
175,10,376,270,325,476,294,606,320,1,0,0,0
176,10,406,328,338,634,296,786,318,1,0,0,0
177,10,397,277,331,465,250,798,351,1,0,0,1
178,389,310,146,490,588,303,794,361,1,0,0,0
179,111,369,395,319,588,303,794,361,1,0,0,1
180,10,384,339,332,588,303,794,361,1,1,0,0
181,10,370,297,325,588,303,794,361,1,1,0,0
182,389,310,146,490,588,303,794,361,1,1,0,0
183,389,310,146,490,683,352,798,372,1,0,0,0
184,140,339,328,299,598,329,741,354,1,1,0,0
185,389,310,146,490,613,299,798,329,1,0,0,0
186,389,310,146,490,411,250,798,318,1,0,0,0
187,389,310,146,490,417,254,798,328,1,0,0,0
188,389,310,146,490,672,304,798,328,1,0,0,1
189,10,337,257,257,525,254,798,307,1,0,0,0
190,10,402,387,280,588,303,794,361,1,0,0,0
191,21,371,139,342,588,303,794,361,0,0,1,1
192,389,310,146,490,588,303,794,361,1,0,0,0
193,389,310,146,490,588,303,794,361,1,0,0,1
194,389,310,146,490,588,303,794,361,1,0,0,0
195,389,310,146,490,438,394,794,463,0,0,0,0
196,10,488,369,411,568,297,749,329,0,0,1,0
197,35,500,217,468,692,345,798,369,1,0,0,0
198,389,310,146,490,524,355,798,439,1,0,0,1
199,65,299,375,250,467,286,614,331,1,0,0,0
200,154,312,272,295,588,303,794,361,1,1,0,0
201,389,310,146,490,588,303,794,361,1,0,0,0
202,10,314,361,252,401,251,625,287,1,0,0,0
203,10,405,314,306,624,283,798,310,1,0,0,0
