Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
125,125,740,274,760,300,1,0,1,0,0
126,126,488,220,540,252,1,1,0,0,0
127,127,34,240,82,302,1,1,0,0,0
128,128,228,246,296,272,1,0,1,0,0
129,129,0,153,206,417,1,1,0,0,0
130,130,702,276,758,292,1,0,1,0,0
131,131,639,278,691,298,1,0,1,0,0
132,132,10,278,68,304,1,1,0,0,0
133,133,398,262,484,282,1,1,0,0,0
134,134,363,256,535,290,1,1,0,0,0
135,135,116,236,324,308,1,1,1,0,0
136,136,-16,242,244,350,1,1,0,0,0
137,137,400,248,420,262,1,1,0,0,0
138,138,6,250,186,332,1,0,1,1,0
139,139,-12,207,160,381,1,0,1,1,0
140,140,40,236,116,350,1,0,1,1,0
141,141,510,224,566,266,1,0,1,1,0
142,142,576,206,718,294,1,0,0,0,0
143,143,620,222,682,276,1,0,0,0,0
144,144,444,160,580,284,1,0,0,0,0
145,145,4,188,268,354,1,0,0,0,0
146,146,480,186,544,262,1,0,0,0,0
147,147,326,192,492,320,1,1,0,0,1
148,148,554,238,650,328,1,1,0,0,1
149,149,736,258,758,280,1,1,0,0,0
150,150,296,224,306,258,1,1,0,0,0
151,151,720,260,736,278,1,1,0,0,0
152,152,10,238,32,292,1,1,0,0,0
153,153,196,272,210,302,1,1,0,0,0
154,154,288,254,308,266,1,1,0,0,0
155,155,218,251,240,267,1,1,0,0,1
156,156,44,254,190,344,1,1,0,0,1
157,157,114,260,186,284,1,1,0,0,0
158,158,38,252,118,330,1,1,0,0,0
159,159,456,226,476,242,1,1,0,0,0
160,160,522,238,550,258,1,1,0,0,0
161,161,649,238,723,292,1,1,0,0,0
162,162,597,222,771,300,1,1,0,0,0
163,163,486,238,508,252,1,1,0,0,0
164,164,459,248,481,266,1,1,0,0,1
165,165,742,86,756,110,1,1,0,0,0
166,166,259,243,307,273,1,1,0,0,0
167,167,157,16,167,48,1,1,0,0,0
168,168,21,274,185,338,1,1,1,0,0
169,169,66,282,136,326,1,1,1,0,0
170,170,674,262,698,278,1,1,0,0,0
171,171,320,258,340,272,1,0,1,0,0
172,172,106,215,248,293,1,1,0,0,0
173,173,141,226,203,274,1,1,0,0,0
174,174,14,242,34,256,1,1,0,0,0
175,175,603,286,781,332,1,1,0,0,0
176,176,86,254,250,336,1,0,0,0,1
177,177,136,268,208,322,1,0,0,0,1
178,178,26,254,54,272,1,1,0,0,0
179,179,586,246,666,294,1,1,0,0,0
180,180,198,261,218,273,1,1,0,0,0
181,181,163,280,189,298,1,1,0,0,0
182,182,588,224,600,252,1,1,1,0,0
183,183,720,246,744,286,1,1,1,0,0
184,184,-10,242,268,360,1,1,0,0,0
185,185,-14,168,160,310,1,1,0,0,0
186,186,190,222,332,310,1,1,0,0,0
187,187,-12,208,276,362,1,1,0,0,0
188,188,404,257,426,271,1,1,0,0,0
189,189,469,254,495,264,1,0,0,0,0
190,190,487,252,507,266,1,0,0,0,0
191,191,298,236,496,300,1,1,0,0,1
192,192,248,236,266,248,1,1,0,0,1
193,193,524,200,804,396,1,1,0,0,0
194,194,196,238,268,262,1,1,0,0,0
195,195,-3,266,165,344,1,1,1,0,0
196,196,198,254,252,308,1,1,0,0,1
197,197,58,242,162,328,1,1,0,0,0
198,198,226,266,302,296,1,1,0,0,0
199,199,-6,247,216,519,1,1,0,0,0
200,200,224,249,242,263,1,1,0,0,0
201,201,284,246,304,258,1,1,0,0,0
202,202,304,252,324,264,1,1,0,0,0
203,203,283,252,311,266,1,1,0,0,0
204,204,157,242,221,276,1,1,0,0,0
205,205,16,244,198,366,1,1,0,0,0
206,206,386,256,434,280,1,1,0,0,1
207,207,60,220,238,320,1,1,0,0,0
208,208,238,258,268,280,1,0,0,1,0
209,209,-6,222,170,362,1,0,0,0,0
210,210,-4,223,224,405,1,1,0,0,0
211,211,50,263,156,369,1,1,0,0,0
212,212,711,248,771,272,1,1,0,0,0
213,213,78,249,146,279,1,0,0,0,0
214,214,18,250,66,278,1,1,0,0,0
